queue,id,property_id,property_name,site_name,city,state,url,is_open,property_type,land_operator_category,quantity_of_units,canonical_from_site_name,sibling_unit_types
proposed_placeholder,13004,4d9d9116-e3d0-44b3-ae29-21342f270e6d,The Grange Campground,Proposed mix — not built,Napa,CA,https://napavalleyregister.com/news/napa-city-council-rage-project-glamping-autozone-deny/article_53c0155e-0464-11f0-8d53-a3af5ec936ee.html,Cancelled,Glamping Resort,private_commercial,,,
property_shell,10840,7c6d48ab-f90d-4aca-9c4c-6301e65ea381,The Green O,,Greenough,MT,https://www.thegreeno.com/,Yes,Glamping,,,,
property_shell,10841,062455a0-63d5-4c83-b047-87df70420ee6,The Griffin Ranch,,Fort McCoy,FL,https://www.thegriffinranch.com/,Yes,Glamping,,,,
property_shell,12345,6dce8271-d89b-4c0d-b056-0908f8af22ce,The Hideaway Ranch,,Bluffdale,TX,https://www.thehideawayranch.com/,Yes,Glamping Resort,private_commercial,,,
state_park_placeholder,11694,525c0537-d634-48ae-ba24-9a4befa8ec48,The Lodge at Gulf State Park,The Lodge at Gulf State Park,Gulf Shores,AL,https://www.hilton.com/en/hotels/pnsgigi-the-lodge-at-gulf-state-park/,Yes,Glamping,state_park,,,
state_park_placeholder,11679,dd8dd62a-066e-4a99-b7d0-ce214fb5ef05,The Lodge at Sequoyah State Park,The Lodge at Sequoyah State Park,Hulbert,OK,https://travelok.com/state-parks/sequoyah-state-park,Yes,Glamping,state_park,,,
state_park_placeholder,11733,d78a4355-9c3a-4508-82c0-9313dd133d39,Three Island Crossing State Park,Three Island Crossing State Park,Glenns Ferry,ID,https://parksandrecreation.idaho.gov/parks/three-island-crossing,Yes,Glamping,state_park,,,
state_park_placeholder,11693,55133fdd-86e5-4972-a958-fb996cd28977,Tickfaw State Park,Tickfaw State Park,Springfield,LA,https://www.lastateparks.com/parks-preserves/tickfaw-state-park,Yes,Glamping,state_park,,,
state_park_placeholder,11718,8d7c6c54-e37c-4d1d-8adf-4376d3df994a,Tishomingo State Park,Tishomingo State Park,Tishomingo,MS,https://www.mdwfp.com/parks-destinations/state-parks/tishomingo,Yes,Glamping,state_park,,,
state_park_placeholder,11766,565629a3-f695-4558-a9a0-8336cd260e3c,Trap Pond State Park,Trap Pond State Park,Laurel,DE,https://destateparks.com/Inland/TrapPond,Yes,Glamping,state_park,,,
property_shell,10878,91308d0e-ed9f-48ee-b682-e34bb1734314,Triple G's Resort,,Essex,MT,https://www.triplegsresort.com/,Yes,Glamping,,,,
state_park_placeholder,11735,954c8766-60d5-491b-9660-be1338e68b27,Turkey Run State Park Inn,Turkey Run State Park Inn,Marshall,IN,https://www.in.gov/dnr/state-parks/parks-lakes/turkey-run-state-park/,Yes,Glamping,state_park,,,
state_park_placeholder,11751,5d036415-d526-4b91-8ae9-50bdc0624453,Watkins Glen State Park,Watkins Glen State Park,Watkins Glen,NY,https://parks.ny.gov/parks/watkinsglen/,Yes,Glamping,state_park,,,
state_park_placeholder,11724,edc16d17-4f60-4330-bad7-9a7103f92077,White Pines Forest State Park,White Pines Forest State Park,Mount Morris,IL,https://www2.illinois.gov/dnr/Parks/Pages/WhitePinesForest.aspx,Yes,Glamping,state_park,,,
proposed_placeholder,12994,339df174-0c57-48fa-b4df-2e356625a570,Wonder Inn Resort,Hotel guestroom — not built,Wonder Valley,CA,https://stopwonderinn.org/wp-content/uploads/2022/03/11-19-21-The-Wonder-Inn-Project-Description_NMDA-fill-in-002.pdf,Cancelled,Outdoor Resort,private_commercial,106,,
state_park_placeholder,11763,87d79b0b-1c69-4605-bca5-57a17e518cca,Worthington State Forest,Worthington State Forest,Columbia,NJ,https://www.nj.gov/dep/parksandforests/parks/worthington.html,Yes,Glamping,state_park,,,
property_shell,12338,5381e71a-805c-4728-8d31-501648b351d3,Wren Eagle Retreat,,Chillicothe,OH,https://www.wreneagle.com/,Yes,Glamping Resort,private_commercial,,,
property_shell,10857,38b37797-1ecc-4c2b-9b0e-b29986c6690c,Wylder Hope Valley,,Hope Valley,CA,https://www.desolationhotel.com/hope-valley,Yes,Glamping,,,,
named_site,10668,c9482aca-7023-4d29-a4c3-4a40faa9a4e1,Zion Ponderosa Ranch Resort,FAMILY---H 42,Orderville,UT,https://www.zionponderosa.com/,Yes,Glamping,,1,,Cabin; Canvas Tent; Covered Wagon; Safari Tent; Tiny Home
